PITCHER_ID,PITCHER_NAME,TEAM,STRIKEOUTS,WALKS_ALLOWED,HITS_ALLOWED,HOME_RUNS_ALLOWED,EARNED_RUNS,BATTERS_FACED,PITCH_COUNT,INNINGS,K_PER_9,BB_PER_9,HR_PER_9,ERA
669062,Erik Miller,san francisco giants,17,9,8,0,4,52,256,11.666666666666666,13.114285714285716,6.942857142857143,0.0,3.085714285714286
686613,Hunter Brown,houston astros,17,6,5,0,1,43,180,10.666666666666668,14.343749999999998,5.062499999999999,0.0,0.8437499999999999
605288,Adrian Houser,san francisco giants,16,10,43,6,24,143,496,30.333333333333336,4.747252747252747,2.9670329670329667,1.7802197802197801,7.1208791208791204
500779,Jose Quintana,colorado rockies,16,12,29,6,14,130,507,30.0,4.8,3.6,1.8,4.2
670245,Ryan Watson,boston red sox,16,9,26,4,14,104,394,22.666666666666668,6.352941176470588,3.5735294117647056,1.588235294117647,5.5588235294117645
676760,Ron Marinaccio,san diego padres,16,6,25,4,13,94,394,22.666666666666668,6.352941176470588,2.3823529411764706,1.588235294117647,5.161764705882352
642121,Cole Sulser,tampa bay rays,16,8,22,1,8,91,345,20.666666666666668,6.967741935483871,3.4838709677419355,0.43548387096774194,3.4838709677419355
641302,Tyler Alexander,texas rangers,16,5,20,2,5,86,336,20.0,7.2,2.25,0.9,2.25
623211,Huascar Brazobán,new york mets,16,6,14,1,2,78,283,19.666666666666664,7.322033898305086,2.745762711864407,0.45762711864406785,0.9152542372881357
668941,JoJo Romero,st. louis cardinals,16,7,17,3,7,81,338,19.333333333333332,7.448275862068966,3.2586206896551726,1.396551724137931,3.2586206896551726
681867,Cooper Criswell,seattle mariners,16,4,15,3,5,68,266,18.333333333333332,7.854545454545455,1.9636363636363638,1.4727272727272729,2.4545454545454546
670036,Matt Festa,cleveland guardians,16,4,16,3,10,74,257,17.666666666666668,8.150943396226415,2.0377358490566038,1.5283018867924527,5.094339622641509
663765,Jake Woodford,milwaukee brewers,16,3,21,1,8,76,267,17.333333333333332,8.307692307692308,1.5576923076923077,0.5192307692307693,4.153846153846154
666277,George Soriano,st. louis cardinals,16,9,11,1,6,74,296,17.333333333333332,8.307692307692308,4.673076923076923,0.5192307692307693,3.1153846153846154
594580,Sam Moll,cincinnati reds,16,10,9,1,3,73,296,17.0,8.470588235294118,5.294117647058823,0.5294117647058824,1.588235294117647
641745,Brad Keller,philadelphia phillies,16,4,13,3,8,66,269,16.666666666666668,8.639999999999999,2.1599999999999997,1.6199999999999999,4.319999999999999
663158,Robert Suarez,atlanta braves,16,3,12,0,1,63,243,16.666666666666668,8.639999999999999,1.6199999999999999,0.0,0.5399999999999999
694335,Matt Svanson,st. louis cardinals,16,11,26,3,22,85,330,16.0,9.0,6.1875,1.6875,12.375
671212,Joe Boyle,tampa bay rays,16,6,11,1,9,66,263,15.666666666666666,9.191489361702128,3.446808510638298,0.574468085106383,5.170212765957447
676684,Will Vest,detroit tigers,16,6,14,1,10,64,283,14.333333333333332,10.046511627906977,3.7674418604651168,0.627906976744186,6.279069767441861
682842,Abner Uribe,milwaukee brewers,16,3,10,1,5,56,229,14.333333333333332,10.046511627906977,1.8837209302325584,0.627906976744186,3.1395348837209305
573009,Joe Mantiply,toronto blue jays,16,3,14,1,4,57,203,13.666666666666666,10.536585365853659,1.975609756097561,0.6585365853658537,2.6341463414634148
800311,Didier Fuentes,atlanta braves,16,6,10,1,6,57,241,13.333333333333334,10.799999999999999,4.05,0.6749999999999999,4.05
646241,Enmanuel De Jesus,detroit tigers,16,9,20,1,11,67,267,12.666666666666666,11.368421052631579,6.394736842105264,0.7105263157894737,7.815789473684211
665152,Dean Kremer,baltimore orioles,16,2,8,4,5,43,175,11.0,13.090909090909092,1.6363636363636365,3.272727272727273,4.090909090909091
680736,Justin Wrobleski,los angeles dodgers,15,10,26,0,5,143,517,36.0,3.75,2.5,0.0,1.25
640448,Kyle Finnegan,detroit tigers,15,10,13,1,1,78,313,20.0,6.75,4.5,0.45,0.45
605130,Scott Barlow,athletics,15,8,7,2,7,75,277,18.666666666666664,7.232142857142858,3.8571428571428577,0.9642857142857144,3.3750000000000004
663947,Tyler Holton,detroit tigers,15,8,23,2,10,83,331,18.666666666666664,7.232142857142858,3.8571428571428577,0.9642857142857144,4.821428571428572
660825,Eduard Bazardo,seattle mariners,15,7,16,1,3,76,303,18.333333333333332,7.363636363636364,3.4363636363636365,0.49090909090909096,1.4727272727272729
678606,Jose A. Ferrer,seattle mariners,15,3,23,0,4,81,279,18.0,7.5,1.5,0.0,2.0
681982,Grant Anderson,milwaukee brewers,15,6,12,2,6,67,254,18.0,7.5,3.0,1.0,3.0
660853,Enyel De Los Santos,houston astros,15,4,17,1,9,70,268,16.333333333333332,8.26530612244898,2.2040816326530615,0.5510204081632654,4.959183673469388
676775,Keaton Winn,san francisco giants,15,5,7,0,4,56,216,15.666666666666666,8.617021276595745,2.872340425531915,0.0,2.297872340425532
688883,Peyton Pallette,cleveland guardians,15,12,11,1,8,72,330,15.666666666666666,8.617021276595745,6.893617021276596,0.574468085106383,4.595744680851064
656288,Griffin Canning,san diego padres,15,6,13,4,7,60,222,15.0,9.0,3.6,2.4,4.2
572955,Pierce Johnson,cincinnati reds,15,5,15,2,6,61,235,14.0,9.642857142857142,3.2142857142857144,1.2857142857142858,3.857142857142857
666808,Camilo Doval,new york yankees,15,4,13,3,10,60,225,14.0,9.642857142857142,2.5714285714285716,1.9285714285714286,6.428571428571429
677961,Cole Wilcox,seattle mariners,15,12,17,1,8,70,270,13.333333333333332,10.125000000000002,8.100000000000001,0.675,5.4
688158,David Morgan,san diego padres,15,11,17,2,9,68,259,13.333333333333332,10.125000000000002,7.425000000000001,1.35,6.075
669093,Jeremiah Estrada,san diego padres,15,6,9,2,7,50,192,12.0,11.25,4.5,1.5,5.25
572143,Burch Smith,detroit tigers,15,3,10,0,2,45,164,11.333333333333332,11.911764705882355,2.382352941176471,0.0,1.5882352941176472
664126,Pete Fairbanks,miami marlins,15,4,9,1,10,47,191,11.0,12.272727272727273,3.272727272727273,0.8181818181818182,8.181818181818182
664854,Ryan Helsley,baltimore orioles,15,7,7,0,3,46,192,10.666666666666666,12.65625,5.90625,0.0,2.53125
676571,PJ Poulin,washington nationals,14,11,15,3,7,82,339,19.333333333333332,6.517241379310345,5.120689655172414,1.396551724137931,3.2586206896551726
657514,Brennan Bernardino,colorado rockies,14,5,17,1,3,75,295,18.0,7.0,2.5,0.5,1.5
593974,Wandy Peralta,san diego padres,14,7,18,3,6,75,307,17.666666666666664,7.132075471698114,3.566037735849057,1.528301886792453,3.056603773584906
656222,Jalen Beeks,texas rangers,14,4,16,2,4,72,264,17.666666666666664,7.132075471698114,2.037735849056604,1.018867924528302,2.037735849056604
699134,Bradgley Rodriguez,san diego padres,14,5,13,0,3,70,274,17.666666666666664,7.132075471698114,2.5471698113207553,0.0,1.528301886792453
687330,Kevin Kelly,tampa bay rays,14,4,10,1,6,64,251,17.0,7.411764705882353,2.1176470588235294,0.5294117647058824,3.176470588235294
702193,Andrew Morris,minnesota twins,14,5,19,1,8,73,293,17.0,7.411764705882353,2.6470588235294117,0.5294117647058824,4.235294117647059
595345,Steven Okert,houston astros,14,7,15,2,8,70,273,16.666666666666664,7.560000000000001,3.7800000000000007,1.08,4.32
680730,Mitchell Parker,washington nationals,14,4,13,2,7,66,244,16.333333333333332,7.714285714285714,2.2040816326530615,1.1020408163265307,3.857142857142857
681402,Gus Varland,washington nationals,14,4,16,1,5,68,234,16.333333333333332,7.714285714285714,2.2040816326530615,0.5510204081632654,2.7551020408163267
607455,Anthony Banda,minnesota twins,14,5,16,2,14,73,292,16.0,7.875,2.8125,1.125,7.875
687606,Paxton Schultz,washington nationals,14,3,17,2,10,70,262,15.666666666666668,8.042553191489361,1.7234042553191489,1.1489361702127658,5.744680851063829
668674,Lucas Erceg,kansas city royals,14,11,10,0,6,62,273,15.333333333333332,8.217391304347826,6.4565217391304355,0.0,3.5217391304347827
663767,Chase Shugart,philadelphia phillies,14,3,11,2,3,55,200,14.333333333333332,8.790697674418606,1.8837209302325584,1.255813953488372,1.8837209302325584
623474,Jimmy Herget,colorado rockies,14,3,15,1,7,60,245,14.0,9.0,1.9285714285714286,0.6428571428571429,4.5
670059,Colin Holderman,cleveland guardians,14,3,8,1,4,54,201,14.0,9.0,1.9285714285714286,0.6428571428571429,2.5714285714285716
621381,Matt Strahm,kansas city royals,14,6,10,2,5,58,234,13.666666666666666,9.219512195121952,3.951219512195122,1.3170731707317074,3.2926829268292686
642100,Gabe Speier,seattle mariners,14,5,14,1,4,59,232,13.333333333333334,9.45,3.375,0.6749999999999999,2.6999999999999997
686790,Trevor McDonald,san francisco giants,14,2,8,1,3,52,167,13.333333333333332,9.450000000000001,1.35,0.675,2.0250000000000004
675989,Cody Bolton,houston astros,14,9,12,1,6,56,234,11.666666666666666,10.8,6.942857142857143,0.7714285714285715,4.628571428571429
554430,Zack Wheeler,philadelphia phillies,14,5,6,0,3,43,178,11.0,11.454545454545455,4.090909090909091,0.0,2.4545454545454546
