DATE,PITCHER_ID,PITCHER_NAME,TEAM,OPP,INNINGS,STRIKEOUTS,PITCH_COUNT,SOURCE_SEASON,DATA_SOURCE,CURRENT_SEASON_GAMES
2026-04-18,645261,Sandy Alcantara,,Milwaukee Brewers,5.0,1,97,2026,API_2026,12
2026-04-24,645261,Sandy Alcantara,,San Francisco Giants,6.0,4,108,2026,API_2026,12
2026-04-29,645261,Sandy Alcantara,,Los Angeles Dodgers,6.0,4,104,2026,API_2026,12
2026-05-05,645261,Sandy Alcantara,,Baltimore Orioles,4.1,5,106,2026,API_2026,12
2026-05-10,645261,Sandy Alcantara,,Washington Nationals,6.0,3,89,2026,API_2026,12
2026-05-16,645261,Sandy Alcantara,,Tampa Bay Rays,6.0,6,101,2026,API_2026,12
2026-05-21,645261,Sandy Alcantara,,Atlanta Braves,6.0,3,94,2026,API_2026,12
2026-05-26,645261,Sandy Alcantara,,Toronto Blue Jays,5.2,4,95,2026,API_2026,12
2026-03-26,657746,Joe Ryan,,Baltimore Orioles,5.1,7,85,2026,API_2026,12
2026-04-01,657746,Joe Ryan,,Kansas City Royals,4.0,3,77,2026,API_2026,12
2026-04-06,657746,Joe Ryan,,Detroit Tigers,5.0,7,101,2026,API_2026,12
2026-04-11,657746,Joe Ryan,,Toronto Blue Jays,7.0,5,91,2026,API_2026,12
2026-04-17,657746,Joe Ryan,,Cincinnati Reds,6.0,6,94,2026,API_2026,12
2026-04-23,657746,Joe Ryan,,New York Mets,5.0,5,92,2026,API_2026,12
2026-04-28,657746,Joe Ryan,,Seattle Mariners,6.0,6,88,2026,API_2026,12
2026-05-03,657746,Joe Ryan,,Toronto Blue Jays,0.1,1,9,2026,API_2026,12
2026-05-09,657746,Joe Ryan,,Cleveland Guardians,6.0,5,107,2026,API_2026,12
2026-05-15,657746,Joe Ryan,,Milwaukee Brewers,6.0,7,90,2026,API_2026,12
2026-05-20,657746,Joe Ryan,,Houston Astros,6.0,9,99,2026,API_2026,12
2026-05-26,657746,Joe Ryan,,Chicago White Sox,7.2,9,98,2026,API_2026,12
2026-03-26,667755,Jose Soriano,,Houston Astros,6.0,7,91,2026,API_2026,12
